superior_frontal_gyrus_left,superior_frontal_gyrus_right,orbitofrontal_cortex_left,orbitofrontal_cortex_right,dorsolateral_frontal_cortex_left,dorsolateral_frontal_cortex_right,paracentral_lobule_left,paracentral_lobule_right,postcentral_gyrus_left,postcentral_gyrus_right,dorsolateral_parietal_cortex_left,dorsolateral_parietal_cortex_right,precuneus_left,precuneus_right,anterior_cingulate_cortex_left,anterior_cingulate_cortex_right,posterior_cingulate_cortex_left,posterior_cingulate_cortex_right,isthmus_cingulate_cortex_left,isthmus_cingulate_cortex_right,lateral_temporal_cortex_left,lateral_temporal_cortex_right,mesial_temporal_cortex_left,mesial_temporal_cortex_right,lateral_occipital_cortex_left,lateral_occipital_cortex_right,pericalcarine_cortex_left,pericalcarine_cortex_right,lingual_gyrus_left,lingual_gyrus_right,cuneus_left,cuneus_right,insula_left,insula_right,cerebellar_cortex_left,cerebellar_cortex_right,thalamus_left,thalamus_right,caudate_left,caudate_right,putamen_left,putamen_right,globus_pallidus_left,globus_pallidus_right,brainstem_wo_pons,pons,hippocampus_left,hippocampus_right,amygdala_left,amygdala_right,ventral_diencephalon_left,ventral_diencephalon_right
1.3258857,1.3783394,1.3359398,1.3590058,1.4094963,1.458604,1.2747225,1.2753345,1.2929274,1.3147495,1.2867827,1.3105178,1.3931991,1.4355682,1.351817,1.3253628,1.3799009,1.3985724,1.2906638,1.2778788,1.1760025,1.2060848,1.1586096,1.153127,1.2469884,1.2350185,1.5650502,1.6407129,1.5004449,1.4983077,1.4563043,1.5322216,1.351207,1.368384,1.0647081,1.0391921,1.1500392,1.1789871,1.265817,1.251306,1.6683018,1.622835,1.2812755,1.271334,0.934877,0.93627703,1.0914637,1.0726055,1.0524379,1.020144,1.0422056,1.0105506
1.1861598,1.2143556,1.1734887,1.1783323,1.2949026,1.304236,1.2661988,1.3218578,1.240899,1.2334685,1.2201778,1.1757338,1.3672683,1.3749157,1.0887718,1.0865103,1.2440251,1.3157005,1.2001851,1.2368417,1.1585485,1.1605976,1.1545291,1.1432805,1.3194727,1.3165177,1.5008565,1.5427035,1.4001219,1.35575,1.4339905,1.4070867,1.1940454,1.1507065,1.1590024,1.1435736,1.105011,1.1032342,0.894396,0.94031024,1.3990347,1.4068677,1.0633715,1.0979704,0.945042,0.9436914,0.93918407,0.9786933,0.9205043,0.9504828,0.98322034,0.97463197
1.1573994,1.1930535,1.0986373,1.127024,1.214513,1.3117911,1.2197249,1.2999504,1.1673293,1.2204889,1.1425817,1.1899549,1.2879387,1.3583475,1.0600091,1.0582336,1.1865708,1.3118818,1.1755382,1.2325714,1.0494776,1.1949865,1.0741786,1.1317827,1.2511882,1.3210288,1.3541542,1.5335941,1.2588058,1.3091816,1.3206967,1.3636086,1.1226308,1.1696746,1.1137159,1.150711,1.0766826,1.1073847,0.9234049,0.96265346,1.3639238,1.401345,1.0085305,1.0578792,0.88434595,0.9392708,0.8966532,0.96726793,0.86648434,0.9163088,0.8931499,0.94371706
1.1600561,1.1842843,1.1285352,1.1150457,1.2802644,1.275946,1.254784,1.2848991,1.231047,1.218544,1.2302647,1.1842445,1.3496428,1.3611987,1.0650806,1.0296068,1.2028272,1.3000697,1.1511443,1.2071003,1.143908,1.1394361,1.1135795,1.1042675,1.2975233,1.3052442,1.427979,1.4891226,1.3256196,1.2889605,1.4067852,1.3981129,1.1754941,1.1260554,1.1561887,1.1245943,1.0428665,1.0466857,0.881799,0.9188475,1.3557327,1.3312145,1.0104395,1.0259893,0.88003093,0.9328832,0.8919544,0.91543263,0.83812994,0.87345004,0.90088445,0.9020299
1.21994,1.2304335,1.1693429,1.2200743,1.3013794,1.27397,1.1714181,1.2064173,1.1924204,1.1751907,1.1831537,1.1765974,1.4561138,1.4201015,1.2162141,1.159095,1.3486269,1.3507355,1.3619262,1.3336353,1.1159484,1.0830238,1.0895268,1.0942122,1.095875,1.0590638,1.4831488,1.3911504,1.3250437,1.2795503,1.3814605,1.3287946,1.2247019,1.1930425,1.1103144,1.093964,1.1575387,1.1192625,1.1621242,1.1380703,1.4941629,1.4889228,1.1292573,1.1714319,0.9276563,0.9402881,1.0181901,1.0180911,0.9776563,0.9959312,0.9614603,0.9542099
1.2250729,1.232134,1.187674,1.1735138,1.3075596,1.2605323,1.1969118,1.2243992,1.1858817,1.1464461,1.1687772,1.1290613,1.3846537,1.3387579,1.2000384,1.1201986,1.3115567,1.3084563,1.3131198,1.2712444,1.0895697,1.064224,1.1049877,1.0459461,1.0512938,0.9651834,1.4226812,1.2863129,1.3243644,1.1962298,1.3090793,1.2228191,1.2325399,1.179818,1.1285965,1.1240855,1.171255,1.0817045,1.1556857,1.1158028,1.454192,1.4300817,1.1403046,1.1057442,0.925863,0.9448636,1.0241536,0.9653362,0.9969384,0.952771,0.9619256,0.9039709
1.1528134,1.168004,1.2014915,1.1781398,1.2144387,1.2340585,1.1556041,1.1557013,1.14514,1.1739049,1.1499137,1.1804191,1.3036017,1.3342656,1.1183984,1.1161926,1.2686266,1.2784036,1.1994505,1.2209935,1.1066431,1.1190101,1.1880612,1.158252,1.1883919,1.2220898,1.3947351,1.5307404,1.3237396,1.3947024,1.3106894,1.3175522,1.0946938,1.1313941,1.1267014,1.1098067,1.1321585,1.1375101,1.0500062,1.0591707,1.4184853,1.4179618,1.1279439,1.157583,0.9416956,0.9367889,1.0235369,1.0050788,1.0342058,1.0109289,1.0314248,1.0343606
1.2262809,1.2575314,1.2582574,1.2241007,1.2948952,1.3066356,1.2374673,1.2487766,1.2254858,1.2390392,1.1883662,1.2289267,1.4680728,1.4615471,1.211892,1.2249774,1.4022115,1.4638038,1.3493916,1.3941565,1.1296741,1.1432548,1.212742,1.180983,1.2571815,1.2613233,1.7691537,1.8058604,1.6089017,1.5855081,1.5289389,1.4304156,1.1582136,1.1671879,1.2157587,1.1800108,1.260588,1.2505169,1.0921898,1.140324,1.4972303,1.4924309,1.230576,1.2182865,1.013807,0.9492672,1.0660768,1.0101335,1.0288389,0.9810733,1.1286728,1.08761
1.1418115,1.1589364,1.2279419,1.2001166,1.2089092,1.2387395,1.0780553,1.07802,1.1139688,1.1221253,1.1285824,1.1690185,1.3226243,1.33568,1.1399027,1.1285007,1.2595958,1.2900609,1.2759378,1.3002081,1.1103526,1.1237364,1.1902721,1.1632148,1.1787344,1.2347821,1.555098,1.6128055,1.4542184,1.4663454,1.3673575,1.2983582,1.1374047,1.15991,1.1190174,1.1161969,1.2233734,1.1925987,1.112265,1.0837189,1.4750441,1.4687107,1.209374,1.2139343,0.95970833,0.9401192,1.056031,1.0021317,1.0481794,0.99459565,1.1125498,1.0589604
1.2312362,1.206089,1.2301114,1.1996988,1.3016559,1.2926332,1.2144666,1.1897904,1.1910633,1.1627624,1.1773807,1.1560215,1.4192493,1.3572786,1.0987054,1.1174302,1.2534353,1.2104166,1.3464416,1.3596381,1.1494627,1.1532043,1.1582485,1.1601244,1.2649133,1.2608134,1.6709002,1.5421249,1.4940828,1.4414842,1.5237867,1.4483062,1.1137174,1.1595768,1.085349,1.0884657,1.0579805,1.0881547,0.93036526,0.95230824,1.3952098,1.4162836,1.0780894,1.1335405,0.930084,0.93307334,0.9197872,0.9239198,0.89379376,0.9086774,0.9011832,0.924545
